date,symbol,cmp,high,low,% change,atr,dc50 high,dc50 low,cci(20),rsi 7,volume,vol - times,"st 10,2","st 10,1",yestclose,prev st 10-2,prev st 10-1,open,gap 52 w h,gap 52 w l,52 week high,52 week low
25th Aug,PNB,105.22,106.38,105.10,-0.067,1.73,115.71,100.52,-23.64,38.72,5672087,0.587,108.94,107.60,105.29,108.94,108.32,105.59,10.44,0.179,142.90,85.46
25th Aug,NBCC,104.12,105.02,103.03,0.512,2.75,125.55,103,-124.38,37.63,7511341,2.15,109.69,106.86,103.59,110.20,107.28,103.82,20.34,0.311,139.83,70.80
25th Aug,SJVN,99.37,100.33,99.02,-0.171,2.81,102.30,90.71,158.58,67.26,5623977,0.415,94.09,96.88,99.54,93.02,95.97,99.94,29.02,0.191,159.65,80.54
25th Aug,MOTHERSON,94.97,96.30,94.40,-0.200,2.78,105.95,89.70,-21.40,45.76,10376097,1.08,92.60,98.16,95.16,92.60,99.51,96,34.35,0.262,144.66,71.50
25th Aug,GMRAIRPORT,88.84,90.24,88.65,-0.793,1.83,97,80.25,-84.53,40.78,7007338,0.906,92.71,91.32,89.55,92.71,88.89,89.55,9.56,0.268,103.75,67.75
25th Aug,ABFRL,81.98,83.40,80.86,0.898,2.56,83.40,71.80,294.00,78.23,30724028,0.351,77.30,79.72,81.25,73.99,76.39,81.44,32.67,0.172,121.75,70.55
25th Aug,NHPC,79.60,81.09,79.48,-1.38,1.71,89.75,79.48,-239.67,27.66,12469270,1.44,83.74,82.01,80.71,84.80,83.06,80.84,20.80,0.136,118.40,71
25th Aug,HFCL,74.24,74.75,73.51,0.842,2.05,88.43,70.35,-1.53,52.34,6994416,1.12,75.60,75.83,73.62,75.60,75.83,73.95,56.58,0.071,171,70.35
25th Aug,NMDC,70.68,71.30,70.29,0.741,1.59,73.60,66.80,-54.43,48.03,7984872,0.976,73.26,72.39,70.16,73.26,72.42,70.80,14.67,0.224,95.45,59.53
25th Aug,IDFCFIRSTB,70.28,70.45,69.53,0.861,1.30,78.45,67.30,46.32,52.14,14729311,0.954,71.34,71.34,69.68,71.34,71.35,69.60,10.41,0.365,86.10,52.46
25th Aug,SUZLON,57.43,59.04,57.36,-1.85,2.07,68.30,56.62,-120.91,27.23,54999056,0.816,62.36,60.28,58.51,62.92,60.80,59.04,33.25,0.342,86.04,46.15
25th Aug,IRB,45.05,45.45,43.65,2.90,1.19,50.44,43.24,-28.37,52.56,18170683,1.60,46.16,45.24,43.78,46.16,45.24,43.90,31.22,0.208,78.15,40.96
25th Aug,YESBANK,19.55,20.20,19.50,1.40,0.379,20.65,18.33,154.42,68.12,254717295,6.69,19.11,19.48,19.28,18.87,19.19,20.20,19.91,0.926,28.55,16.02
25th Aug,IDEA,7.40,7.60,7,4.67,0.372,7.94,6.12,162.36,70.69,1166127756,0.703,6.61,6.96,7.07,6.32,6.63,7.07,52.50,2.47,19.18,6.12
