date,symbol,cmp,high,low,% change,atr,dc50 high,dc50 low,cci(20),rsi 7,volume,vol - times,"st 10,2","st 10,1",yestclose,prev st 10-2,prev st 10-1,open,gap 52 w h,gap 52 w l,52 week high,52 week low
25th Aug,KPITTECH,1203,1237.50,1200,0.535,28.01,1434.50,1180,14.66,43.98,1881697,2.19,1164.64,1227.39,1196.60,1164.64,1227.39,1213.40,35.32,0.013,1928.70,1020.60
25th Aug,NESTLEIND,1153,1166.80,1148.80,-0.851,28.52,1245,1084.70,79.66,53.48,931333,1.01,1122.65,1151.10,1162.90,1122.65,1151.10,1162.90,16.99,0.007,1389,1055
25th Aug,BHARATFORG,1139.40,1157.80,1124.60,1.46,32.39,1336.10,1102,-103.14,39.80,1825618,1.29,1202.85,1170.75,1123,1202.85,1170.75,1125.90,30.09,0.017,1804.50,919.10
25th Aug,KFINTECH,1109.60,1136.70,1105.10,-1.47,30.47,1388.50,1048.10,22.21,42.87,565180,0.670,1144.42,1095.79,1126.20,1144.42,1095.79,1132,32.40,0.026,1641.35,784.15
25th Aug,TATACONSUM,1081.60,1091.30,1079.10,-0.231,19.83,1150,1037.70,88.39,55.18,444714,1.13,1050.62,1072.93,1084.10,1050.62,1072.93,1085,12.37,0.017,1269,882.90
25th Aug,360ONE,1092.70,1099.50,1070,1.40,27.92,1273.80,1014.20,114.99,60.75,853932,1.15,1030.15,1059.65,1077.60,1030.15,1059.65,1081.60,17.09,0.026,1318,790.50
25th Aug,AXISBANK,1070,1074.50,1068.20,-0.084,13.45,1247,1052.60,-18.45,40.53,2711227,0.704,1100.40,1083.40,1070.90,1100.97,1083.40,1073,16.51,0.012,1339.65,933.50
25th Aug,AUROPHARMA,1067.40,1075.90,1052.40,1.62,28.18,1197,1031.80,-47.91,48.10,763818,0.408,1103.15,1073.35,1050.40,1103.15,1073.35,1055.50,32.95,0.005,1592,1010
25th Aug,JSWSTEEL,1057.80,1062.70,1049.80,0.303,20.16,1089.20,983.50,17.31,48.51,1552036,0.796,1035.36,1076.77,1054.60,1035.36,1082.72,1059.50,2.88,0.016,1089.20,880
25th Aug,JINDALSTEL,996.20,1004.40,992.10,-0.105,20.97,1022,882.65,51.89,50.95,1542532,0.848,966.41,989.59,997.25,966.41,989.59,1003.10,7.22,0.028,1097,723.35
25th Aug,ZYDUSLIFE,1023.15,1029.50,990.90,3.47,23.02,1029.50,919.05,148.23,79.28,2565565,8.35,965.22,987.71,988.80,952.24,972.71,992.05,10.25,0.022,1324.30,795
25th Aug,ADANIGREEN,964.10,972.70,958.35,0.721,24.02,1054.90,903.50,5.57,53.57,943854,0.997,977.44,948.21,957.20,977.44,948.21,958.35,53.89,0.022,2174.10,758
25th Aug,TATACHEM,950.25,953.65,936.95,1.30,16.68,1018.80,900.20,-40.72,53.50,428597,2.13,976.58,958.40,938.05,976.58,958.40,938,23.82,0.022,1349,756
25th Aug,FORTIS,915.15,941.85,913,-2.06,21.78,971,743.65,41.59,46.92,1863978,1.05,970.64,949.03,934.40,915.28,960.35,940,5.75,0.045,971,537.40
25th Aug,BAJFINANCE,900.80,908,898.15,0.704,19.38,970.95,849,128.11,59.25,5837813,0.909,863.59,883.33,894.50,857.08,877.74,902.10,7.97,0.032,978.80,645.10
25th Aug,LICI,894.05,895.65,887.50,0.557,18.62,980,874,-44.06,47.56,621627,0.822,916.75,909.96,889.10,916.75,909.96,891,17.21,0.022,1222,715.30
25th Aug,LAURUSLABS,873.20,888.70,870.60,-0.671,22.59,922.50,641.05,53.91,55.84,1451402,0.938,838.15,861.61,879.10,838.15,861.61,883.60,5.34,0.059,922.50,427.05
25th Aug,TITAGARH,861.05,872.10,857.15,0.256,26.69,970,770,78.64,63.81,1197027,0.204,810.14,837.38,858.85,807.11,835.72,865,41.37,0.028,1896.95,654.55
25th Aug,SBICARD,822.05,827,816.25,0.128,14.53,1015,783.60,73.70,58.46,473606,1.56,791.77,807.83,821,791.77,807.83,817.20,19.98,0.024,1027.25,659.80
25th Aug,SBIN,816.45,820.50,814.20,0.025,9.10,842.50,781.70,28.96,44.47,5672877,1.11,809.91,826.85,816.25,809.91,830.70,817.45,6.74,0.021,912,680
25th Aug,ADANIENSOL,805.75,807.85,795.05,0.700,18.99,907.70,769.05,-6.01,48.15,718717,1.34,786.37,820.78,800.15,786.37,825.65,805,26.14,0.034,1348,588
25th Aug,PNBHOUSING,799.85,806.50,794,0.013,21.89,1136,754,-29.29,40.79,1990088,1.28,830.26,782.94,799.75,830.26,782.94,803.95,33.47,0.008,1202.20,746.70
25th Aug,HDFCLIFE,787,791.95,785.35,-0.222,12.94,820.75,731.65,74.43,61.98,2326393,1.75,770.59,786.32,788.75,770.59,786.32,788.75,4.11,0.033,820.75,584.30
25th Aug,INDHOTEL,785.55,795.65,784.25,-0.418,16.13,811.95,724.75,103.07,61.15,1374382,0.772,768.26,784.92,788.85,768.26,784.92,791,12.22,0.023,894.90,645.90
25th Aug,JSL,796.45,818.20,775.05,2.43,26.49,818.20,652.20,164.10,83.48,3921978,4.44,744.73,770.68,777.55,732.05,757.06,777.55,2.66,0.049,848,496.60
25th Aug,DLF,772,775.85,764,1.24,16.45,882.45,742.15,-12.97,50.71,1718841,1.32,794.36,759.30,762.55,794.36,759.30,764.45,16.90,0.029,967.60,601.20
25th Aug,INDUSINDBK,770.85,775,761.50,1.41,17.59,892.80,758.75,-109.41,40.19,2790760,1.12,803.68,784.70,760.10,803.68,784.70,767.95,48.54,0.028,1576.35,606
25th Aug,AUBANK,749.60,753.25,738,1.02,18.00,841,721.40,17.42,50.95,1711315,1.75,770.28,742.02,742.05,770.28,742.02,738,10.87,0.049,841,478.35
25th Aug,IRCTC,721.85,727.55,721,-0.434,9.78,798.60,712.70,-60.88,39.45,881552,1.31,744.47,732.48,725,744.47,732.48,726.75,24.58,0.013,1138.90,656
