date,symbol,ltp,cci 2,cci 4,cci 10,cci 30,cci 60,cci 90,cci 120,cci 150,st 10-2
22nd Aug,GRWRHITECH,2990,66.67,70.42,49.76,-79.21,-118.75,-104.68,-104.37,-118.94,3138.71
22nd Aug,AIIL,2983.10,66.67,97.21,90.21,123.11,132.10,106.85,106.41,120.60,2721.21
22nd Aug,SRF,2917.50,66.67,-64.06,50.66,-71.38,-103.79,-83.03,-58.00,-17.96,2995.11
22nd Aug,TVSSRICHAK,2911,-66.67,-30.65,67.95,-52.67,-73.74,-65.62,1.33,-8.10,3023.25
22nd Aug,HONDAPOWER,2907.90,-66.67,-122.30,1.93,3.38,6.90,45.93,60.09,73.52,3196.23
22nd Aug,PRUDENT,2900.40,66.67,120.92,107.83,40.08,58.77,84.56,85.18,91.57,2647.77
22nd Aug,RADICO,2890.40,66.67,89.93,130.22,116.90,153.95,153.32,135.95,137.47,2730.43
22nd Aug,MPHASIS,2848.60,-66.67,65.13,133.12,99.16,84.51,99.22,107.13,90.88,2702.20
22nd Aug,ENDURANCE,2832.60,-66.67,-65.08,68.67,160.57,150.42,119.33,114.32,129.82,2670.90
22nd Aug,GRASIM,2813.80,-66.67,-59.77,51.42,135.14,93.34,118.36,98.48,101.18,2760.57
22nd Aug,ANANDRATHI,2806.20,-66.67,-96.30,61.45,128.07,101.46,133.23,167.58,198.28,2648.59
22nd Aug,JUBLCPL,2795.30,66.67,66.84,94.94,141.44,174.10,219.29,244.96,NaN,2492.31
22nd Aug,BBL,2794.60,-66.67,-102.31,-146.04,-80.38,-111.29,-135.34,-72.45,-80.20,2919.71
22nd Aug,GVT&D,2766,66.67,-49.22,-95.68,46.98,104.46,102.99,104.80,123.04,2681.91
22nd Aug,GLAXO,2765,-66.67,-116.43,50.77,-62.99,-127.89,-90.10,-60.89,-9.06,2818.45
22nd Aug,TIIL,2763.50,-66.67,-9.19,13.50,-94.24,-135.19,-46.74,-12.06,-2.83,2909.73
22nd Aug,CENTUM,2741.40,-66.67,-16.73,76.98,177.78,250.50,149.25,126.42,142.43,2581.90
22nd Aug,MAZDOCK,2700.30,-66.67,-92.70,-26.30,-67.93,-102.18,-98.66,-41.14,-12.12,2890.32
22nd Aug,MUTHOOTFIN,2680.60,66.67,-52.79,18.92,55.11,72.31,71.19,90.49,109.38,2615.44
22nd Aug,INDIAMART,2670.50,66.67,84.19,127.77,103.88,113.82,105.82,105.19,119.97,2531.45
22nd Aug,AJANTPHARM,2638.50,-66.67,-132.43,-74.72,-71.46,-9.07,-0.271,13.29,-2.64,2742.96
22nd Aug,HINDUNILVR,2629.90,-66.67,18.61,87.93,173.03,156.51,205.91,213.80,235.15,2530.44
22nd Aug,SHRIPISTON,2622,66.67,103.63,102.58,246.33,255.88,117.01,98.67,113.46,2450.77
22nd Aug,MANKIND,2606.80,66.67,96.53,200.29,52.14,90.79,98.07,113.71,114.55,2477.61
22nd Aug,STYRENIX,2596,-66.67,-94.50,-140.95,-126.47,-174.45,-140.30,-102.40,-78.05,2739.54
22nd Aug,DATAPATTNS,2590.60,66.67,108.40,122.27,-29.98,-83.04,-20.89,26.97,40.51,2662.13
22nd Aug,GRSE,2552.80,-66.67,-62.81,-14.94,-40.01,-74.27,-5.61,28.22,44.58,2464.88
22nd Aug,ETHOSLTD,2550,-66.67,-31.91,-82.60,-175.60,-157.72,-117.96,-64.86,-42.67,2746.93
22nd Aug,ANGELONE,2518.60,-66.67,-105.99,-96.05,-131.52,-113.88,-66.03,-15.72,-3.85,2718.22
22nd Aug,NBIFIN,2512.30,66.67,-9.29,31.50,-84.85,-113.72,-55.84,-28.29,-15.22,2559.24
22nd Aug,ASIANPAINT,2504.50,-66.67,-133.33,-4.86,86.66,111.19,125.58,142.30,160.47,2484.28
22nd Aug,MASTEK,2491,-66.67,-113.40,-141.39,-51.16,15.82,53.72,71.09,44.64,2608.63
22nd Aug,DOMS,2475.30,-66.67,-5.75,54.50,144.15,100.89,-16.33,-33.11,-32.09,2331.71
22nd Aug,KDDL,2467.80,-66.67,-133.33,-183.69,-129.81,-142.82,-154.90,-136.01,-79.81,2698.09
22nd Aug,PRIVISCL,2427,66.67,20.39,-53.07,-27.26,26.88,58.86,63.58,76.09,2244.18
22nd Aug,COROMANDEL,2425,-66.67,38.47,61.25,1.07,52.57,63.15,70.99,76.22,2500.21
22nd Aug,RATNAMANI,2420.20,-66.67,-2.03,83.00,-62.94,-123.76,-145.42,-132.47,-128.89,2487.47
22nd Aug,BALKRISIND,2396.10,-66.67,-120.03,-97.29,-88.39,-79.60,-96.47,-98.81,-110.87,2528.72
22nd Aug,HYUNDAI,2366.60,-66.67,-120.55,38.55,146.14,184.02,159.51,170.09,199.05,2342.79
22nd Aug,E2E,2349,-66.67,61.60,123.31,50.44,-29.76,-36.57,-2.99,-14.27,2123.77
22nd Aug,CARTRADE,2346.70,-66.67,-133.33,4.44,89.57,129.08,170.64,209.62,242.32,2247.87
22nd Aug,NPST,2342.90,66.67,92.43,77.00,101.67,141.31,NaN,NaN,NaN,2055.77
22nd Aug,RPGLIFE,2336.50,66.67,71.51,117.04,-34.71,-21.70,18.85,36.57,34.16,2445.44
22nd Aug,BSE,2332.80,-66.67,-98.65,-136.96,-189.47,-121.87,-61.68,11.31,25.43,2505.39
22nd Aug,ADANIENT,2324.90,-66.67,-119.79,38.57,-54.54,-105.48,-96.06,-48.50,-32.34,2263.76
22nd Aug,NETWEB,2322.40,66.67,118.12,230.08,131.14,176.58,165.51,159.82,158.90,2027.42
22nd Aug,DALBHARAT,2319.20,-66.67,-96.82,51.42,130.30,137.08,134.99,120.39,130.45,2243.03
22nd Aug,GRPLTD,2300,66.67,78.66,163.22,0.472,-64.51,-98.28,-101.92,-116.61,2027.12
22nd Aug,COLPAL,2299.30,-66.67,11.17,89.40,33.86,-30.43,-68.93,-81.29,-88.48,2250.73
22nd Aug,ANUP,2287,-66.67,-133.33,-6.95,-90.27,-161.58,-174.20,-172.49,-190.79,2449.05
22nd Aug,EIMCOELECO,2237.10,-66.67,-133.33,-166.49,-128.86,-123.47,-9.82,28.52,42.79,2428.14
22nd Aug,GALAXYSURF,2219.10,66.67,-25.58,-73.92,-143.14,-172.63,-69.94,-44.94,-54.46,2359.63
22nd Aug,MPSLTD,2207,66.67,72.78,-22.44,-74.31,-114.36,-116.68,-119.07,-112.49,2342.16
22nd Aug,CAPLIPOINT,2187.50,66.67,87.43,152.59,159.66,165.97,115.49,123.17,116.34,2040.43
22nd Aug,METROPOLIS,2163,66.67,43.96,73.76,140.66,124.32,156.14,188.41,208.41,2032.73
22nd Aug,ALKYLAMINE,2150,-66.67,52.96,123.54,-49.62,-10.37,37.56,60.89,77.11,2224.76
22nd Aug,THANGAMAYL,2115.60,66.67,81.85,156.30,219.80,358.47,191.27,184.10,180.13,2015.28
22nd Aug,SHAILY,2103.40,66.67,101.39,151.35,240.81,243.03,254.55,240.83,239.66,1862.36
22nd Aug,SUMMITSEC,2101.90,66.67,81.57,177.02,88.91,65.66,73.59,71.32,56.92,1984.01
22nd Aug,POLYMED,2070.60,66.67,122.36,186.48,23.57,-41.85,-75.56,-82.50,-92.61,1883.17
22nd Aug,FIEMIND,2066,-66.67,-86.31,71.76,110.87,152.62,99.91,105.79,122.88,1939.64
22nd Aug,GODREJPROP,2052.90,-66.67,52.04,120.19,-48.94,-100.40,-86.62,-62.22,-61.81,2065.71
22nd Aug,INTERARCH,2044.90,-66.67,-77.63,-100.86,-185.36,-183.47,-13.12,23.43,39.42,2209.78
22nd Aug,SAFARI,2016.90,66.67,-39.74,-77.98,-89.12,-133.17,-106.95,-70.26,-72.50,2108.91
22nd Aug,HESTERBIO,2015,-66.67,26.59,94.40,82.15,139.46,172.57,124.92,104.69,2110.91
22nd Aug,ZYDUSWELL,1998.30,-66.67,-105.19,46.33,-44.93,-17.87,37.71,56.05,69.37,2062.41
22nd Aug,KOTAKBANK,1986.60,-66.67,-133.33,2.63,-49.08,-90.04,-116.19,-87.35,-44.41,2054.16
22nd Aug,LUPIN,1974.70,66.67,65.82,59.81,95.47,61.42,-5.39,-14.35,-30.45,1888.79
22nd Aug,BAJAJFINSV,1965.90,-66.67,-35.48,50.52,-11.36,-46.61,-71.04,-7.10,24.29,1908.18
22nd Aug,HDFCBANK,1964.60,-66.67,-133.33,-128.01,-115.21,-26.28,19.94,52.08,61.13,2026.06
22nd Aug,GLAND,1957.40,-66.67,19.05,-21.95,-52.47,47.13,72.48,93.91,114.05,2045.04
22nd Aug,KMEW,1949.10,-66.67,48.94,97.14,191.33,250.91,203.63,220.51,139.55,1770.14
22nd Aug,AFFLE,1948.40,-66.67,-131.57,-97.45,4.37,18.27,54.12,71.39,87.53,1876.94
22nd Aug,KIRLOSBROS,1943.10,-66.67,2.65,84.52,-22.70,-13.83,16.12,45.08,51.24,2017.06
22nd Aug,GLENMARK,1937.30,66.67,15.47,-78.34,-128.41,17.79,54.84,77.34,96.93,2041.43
22nd Aug,BHARTIARTL,1933.30,-66.67,36.39,92.69,66.34,19.35,51.32,71.62,77.56,1871.25
22nd Aug,THEJO,1928.20,-66.67,-52.10,-57.74,-140.53,-39.09,-22.19,4.50,19.71,2147.68
22nd Aug,BLUESTARCO,1917.40,66.67,-37.12,64.95,130.95,134.86,119.54,42.15,36.45,1828.89
