date,symbol,ltp,cci 2,cci 4,cci 10,cci 30,cci 60,cci 90,cci 120,cci 150,st 10-2
25th Aug,RUPA,198.06,-66.67,-112.82,-20.51,-90.50,-143.89,-79.20,-26.13,-43.77,211.18
25th Aug,DELPHIFX,197,-66.67,-120.51,-73.84,-79.81,16.42,46.87,70.02,61.22,213.26
25th Aug,NATCAPSUQ,196.35,-66.67,-37.56,-82.61,-167.52,-189.85,-121.58,-74.70,NaN,218.15
25th Aug,NITIRAJ,195.77,-66.67,-73.26,-84.60,-72.02,-115.67,-75.04,-81.75,-86.26,209.64
25th Aug,SHALBY,195.14,-66.67,-102.68,-109.00,-76.69,23.11,25.45,16.18,-12.67,208.72
25th Aug,FEDERALBNK,195.01,-66.67,-94.70,-75.03,-73.53,-126.89,-82.62,-28.22,-4.68,200.92
25th Aug,SCHAND,195,-66.67,-124.37,19.34,-88.20,-140.65,-126.69,-39.77,-27.10,205.17
25th Aug,DTIL,194.77,-66.67,-93.35,-63.78,24.44,-8.85,27.79,50.91,4.62,190.29
25th Aug,ABINFRA,193.99,-66.67,-62.07,8.47,86.83,102.02,100.29,108.64,122.58,179.82
25th Aug,ENGINERSIN,193.68,66.67,-57.03,-62.76,-89.57,-142.09,-62.99,-16.49,-0.174,204.38
25th Aug,NIACL,193.55,-66.67,-48.14,37.59,66.71,96.01,104.97,92.76,99.47,201.93
25th Aug,ORBTEXP,193,-66.67,-17.44,13.39,-78.80,-24.92,11.92,38.66,36.09,209.42
25th Aug,MOQUALITY,192.99,66.67,19.84,76.41,34.12,-18.77,24.36,50.73,63.79,188.37
25th Aug,PPLPHARMA,192.82,66.67,113.29,99.82,-44.27,-74.26,-101.55,-99.66,-96.42,201.71
25th Aug,LORDSCHLO,192.75,-66.67,-125.09,-76.81,-36.81,41.89,77.84,103.90,106.18,218.55
25th Aug,JMFINANCIL,192.46,-66.67,59.48,78.76,146.43,169.09,136.47,139.19,161.03,175.82
25th Aug,NATIONALUM,190.41,66.67,0.088,72.92,32.67,53.17,64.11,66.34,51.49,184.17
25th Aug,TBZ,190.41,66.67,-64.98,-24.88,-46.58,-23.67,-47.91,-2.77,4.86,205.58
25th Aug,AYMSYNTEX,189.58,-66.67,-133.33,-149.87,-104.80,-140.30,-125.37,-102.60,-114.00,208.80
25th Aug,CGCL,189.39,66.67,33.39,68.85,118.85,110.20,132.40,151.11,146.10,179.01
25th Aug,PLASTIBLEN,189.25,-66.67,-94.30,-46.10,-51.35,-90.63,-60.12,-38.94,-54.99,201.26
25th Aug,LOTUSDEV,188.03,-66.67,-33.59,-46.99,NaN,NaN,NaN,NaN,NaN,214.23
25th Aug,KITEX,187.89,-66.67,-94.79,30.91,-60.03,-117.45,-153.22,-74.63,-65.88,184.31
25th Aug,PTC,187.68,-66.67,-78.84,30.88,13.29,66.18,82.13,86.54,83.22,180.48
25th Aug,HISARMETAL,186.52,-66.67,-40.25,-0.155,-82.31,-121.24,-127.53,-99.97,-92.50,201.98
25th Aug,CHEMBOND,185.90,-66.67,48.35,113.95,-20.90,-76.21,-91.70,-98.50,-110.00,171.08
25th Aug,GIPCL,185.35,-66.67,-110.03,-98.18,-106.95,-122.86,-93.97,-31.08,-22.60,197.53
25th Aug,KALAMANDIR,185.24,66.67,69.45,100.07,113.91,120.17,131.16,166.13,141.95,169.85
25th Aug,ELIN,185,66.67,93.37,107.28,92.20,113.48,92.39,82.67,92.29,172.18
