date,symbol,ltp,cci 2,cci 4,cci 10,cci 30,cci 60,cci 90,cci 120,cci 150,st 10-2
25th Aug,INDUSINDBK,770.85,66.67,-32.85,-79.91,-92.14,-139.44,-129.73,-41.02,-60.49,803.68
25th Aug,CANFINHOME,765,-66.67,-132.22,23.94,-12.29,-54.71,-0.375,40.15,54.71,750.20
25th Aug,ITDCEM,764.45,66.67,-14.39,-33.96,-43.52,-57.51,23.11,43.93,59.61,801.32
25th Aug,SVLL,760,66.67,-64.63,-103.58,-18.15,26.34,60.77,70.64,84.07,744.83
25th Aug,AETHER,757.80,-66.67,-124.87,41.24,-36.03,-48.41,-43.81,-63.92,-70.26,774.53
25th Aug,KIMS,756.60,66.67,-19.56,24.46,10.07,69.67,99.83,115.44,126.42,715.14
25th Aug,TRANSRAILL,755.85,-66.67,-133.33,-213.36,17.20,65.02,85.85,99.79,118.87,723.11
25th Aug,AUBANK,749.60,-66.67,-68.79,-3.50,-24.66,-52.11,9.82,45.91,58.65,770.28
25th Aug,BUTTERFLY,749.50,66.67,93.02,99.68,39.32,36.68,40.17,56.20,66.29,760.37
25th Aug,SYRMA,749.45,66.67,87.55,117.77,114.51,90.56,117.81,142.59,171.39,757.01
25th Aug,GODREJAGRO,749.10,66.67,-60.02,-71.68,-118.67,-113.03,-53.96,-43.98,-24.89,798.71
25th Aug,VMART,748.15,66.67,-55.35,-28.07,-98.22,-89.36,-116.60,-72.82,-69.65,785.06
25th Aug,WHEELS,747.60,-66.67,-0.757,80.47,-33.88,-46.02,1.09,38.41,51.29,770.29
25th Aug,EMUDHRA,740.70,-66.67,-115.18,-125.53,-115.62,-82.15,-72.26,-77.30,-52.92,786.18
25th Aug,VENTIVE,737.40,-66.67,-28.10,26.63,-68.32,-7.26,-19.02,9.78,27.29,785.61
25th Aug,BLUEJET,736.60,-66.67,-133.33,-254.84,-89.14,-135.98,-89.80,-85.04,-57.78,806.30
25th Aug,UNIVCABLES,735,66.67,53.04,36.36,-19.68,18.92,55.17,73.73,80.64,756.02
25th Aug,ICEMAKE,735,66.67,89.81,101.72,-74.25,-133.15,-103.92,-99.86,-62.74,782.57
25th Aug,CENTURYPLY,733,-66.67,-105.32,-27.19,-7.84,-51.08,-22.90,8.43,-22.67,718.56
25th Aug,ELDEHSG,729.65,-66.67,-87.90,-23.65,-59.02,-101.16,-114.23,-63.62,-71.25,775.70
25th Aug,PKTEA,729,-66.67,-72.61,58.48,75.89,-7.71,-10.34,2.55,9.39,683.95
25th Aug,AEGISLOG,726,-66.67,-36.01,61.44,1.20,-62.40,-85.33,-93.99,-69.05,696.68
25th Aug,JPOLYINVST,724.50,66.67,36.70,-55.31,-89.11,-127.83,-160.72,-61.56,-46.95,769.85
25th Aug,JUBLINGREA,723,66.67,106.61,163.03,-53.47,-52.19,-15.68,13.46,23.25,747.37
25th Aug,UPL,722.80,66.67,133.33,123.85,94.57,117.16,146.62,163.74,169.39,725.44
25th Aug,MARICO,722.40,-66.67,-98.87,22.90,49.55,66.04,71.09,67.50,75.43,713.17
25th Aug,LGHL,722.40,66.67,122.70,170.07,-39.35,-6.53,40.68,58.86,75.54,761.20
25th Aug,SPAL,722.05,-66.67,-109.16,-136.58,-165.01,-229.69,-154.63,-67.60,-76.73,811.28
25th Aug,IRCTC,721.85,-66.67,-73.65,-59.91,-63.25,-107.61,-131.02,-59.83,-66.44,744.47
25th Aug,JSLL,720,66.67,40.90,66.36,NaN,NaN,NaN,NaN,NaN,821.61
25th Aug,SENORES,717.85,66.67,84.80,120.36,133.45,134.73,161.33,190.93,217.95,664.73
25th Aug,HINDALCO,715.85,66.67,133.33,94.11,168.74,141.55,148.09,132.52,134.21,685.60
25th Aug,MANGLMCEM,713,-66.67,-118.49,-64.95,-40.11,-82.46,-89.44,-86.93,-81.92,743.57
25th Aug,GOKEX,712.65,-66.67,-133.33,-15.60,-75.34,-138.98,-168.70,-152.84,-165.68,801.57
25th Aug,SFL,710,66.67,95.73,86.78,155.89,50.51,84.13,50.31,-13.29,665.58
25th Aug,WESTLIFE,708.60,66.67,-17.30,80.15,-31.56,-33.72,-16.52,-9.41,-27.41,669.60
25th Aug,AMRUTANJAN,708.50,66.67,-32.07,52.22,84.35,28.39,37.26,59.11,70.03,678.86
25th Aug,YATHARTH,706.70,-66.67,-86.57,-58.39,75.77,110.04,133.89,154.68,171.66,673.92
25th Aug,SILVERTUC,700,-66.67,-104.16,-193.64,-95.40,-105.08,-105.64,-28.75,-6.95,773.54
25th Aug,GOCOLORS,699.30,66.67,13.07,41.99,-69.84,-133.89,-143.20,-81.97,-97.61,737.80
25th Aug,KALYANIFRG,698.55,-66.67,-96.37,-77.95,-79.84,-112.94,-27.92,24.10,32.29,757.21
25th Aug,AJAXENGG,694.50,66.67,55.51,-52.82,20.00,62.94,53.20,69.88,NaN,660.80
25th Aug,PSPPROJECT,691.05,66.67,116.80,192.92,-57.07,-60.11,-20.95,-0.406,13.85,715.17
25th Aug,TCIEXP,690,-66.67,-114.24,29.36,-33.22,-84.57,-63.64,-26.01,-36.65,708.58
25th Aug,TATAMOTORS,686.80,66.67,-47.20,48.99,54.95,6.40,-0.768,22.38,6.17,661.82
25th Aug,INFOBEAN,686.50,66.67,129.00,119.90,133.62,153.81,203.87,252.07,299.87,611.92
