date,symbol,ltp,cci 2,cci 4,cci 10,cci 30,cci 60,cci 90,cci 120,cci 150,st 10-2
22nd Aug,CHEMPLASTS,439.20,-66.67,-92.54,45.35,45.51,82.29,83.17,77.26,40.36,425.53
22nd Aug,TAJGVK,439.15,-66.67,4.34,85.01,156.16,134.99,87.74,22.49,37.71,417.14
22nd Aug,SANDHAR,439,-66.67,-41.04,59.36,-68.90,-131.61,-40.49,-7.17,-1.68,418.27
22nd Aug,DOLPHIN,438.15,66.67,34.16,64.13,12.98,34.38,58.81,72.61,71.81,388.29
22nd Aug,STEL,438,-66.67,-103.05,17.40,110.12,132.11,128.97,121.78,114.43,412.76
22nd Aug,NINSYS,437.70,66.67,79.98,121.35,-0.262,-56.52,-66.61,-79.55,-87.50,446.24
22nd Aug,KAYA,435.10,66.67,101.69,103.01,13.31,50.85,73.09,91.44,109.48,437.55
22nd Aug,EVEREADY,434.75,-66.67,-6.35,81.80,122.49,107.96,144.12,180.87,193.25,400.35
22nd Aug,RAMCOSYS,434.60,66.67,18.98,83.52,186.44,81.67,96.05,103.52,112.08,400.54
22nd Aug,KPEL,434.40,66.67,83.94,11.95,-89.11,-160.80,-57.86,-21.74,-12.55,470.00
22nd Aug,LTFOODS,433.60,-66.67,-133.33,-207.84,-143.61,-100.36,3.12,28.26,40.22,471.81
22nd Aug,GUJGASLTD,432.05,-66.67,-8.44,64.03,-49.26,-98.83,-119.05,-24.71,-26.69,446.12
22nd Aug,BELLACASA,432.05,66.67,133.33,160.34,NaN,NaN,NaN,NaN,NaN,384.67
22nd Aug,KIOCL,431.75,-66.67,59.32,124.39,191.85,262.00,279.95,277.00,259.67,371.04
22nd Aug,AFCONS,430.95,66.67,-45.27,68.58,93.15,27.78,2.34,-21.51,-38.80,410.56
22nd Aug,VIPIND,430.05,66.67,95.97,82.81,-65.86,10.42,48.84,69.09,78.13,443.62
22nd Aug,AARON,430,-66.67,-26.36,-2.68,22.90,72.79,95.36,111.31,130.50,462.50
22nd Aug,RISHABH,429.40,66.67,76.41,84.36,218.17,417.80,493.28,336.00,349.02,382.32
22nd Aug,ARIES,429.10,66.67,129.22,160.25,208.09,165.79,177.11,177.82,193.12,361.15
22nd Aug,SWIGGY,427.90,-66.67,44.88,120.57,169.84,160.91,129.63,158.10,118.82,403.13
22nd Aug,GMDCLTD,427.30,-66.67,-5.81,51.86,55.43,96.87,90.96,93.10,108.43,395.87
22nd Aug,TMB,427.15,66.67,-54.83,-124.25,-90.07,-153.88,-187.59,-60.77,-56.78,441.16
22nd Aug,CARRARO,426.40,66.67,133.33,100.45,-69.59,-86.77,-15.24,26.73,10.33,447.41
22nd Aug,HINDZINC,424.90,-66.67,-130.18,10.22,-35.32,-66.99,-73.34,-57.69,-55.73,435.55
22nd Aug,DENTA,423.40,66.67,64.94,108.76,208.02,285.10,352.32,415.20,NaN,376.67
22nd Aug,UNIPARTS,423,-66.67,44.89,97.05,149.19,164.74,148.39,158.49,174.70,396.03
22nd Aug,THELEELA,420.65,-66.67,-100.10,-170.11,-93.86,NaN,NaN,NaN,NaN,445.68
22nd Aug,LATENTVIEW,419.90,-66.67,16.36,92.42,21.71,25.64,42.35,65.21,44.74,403.55
22nd Aug,TVSELECT,417.40,66.67,133.33,70.40,-10.87,-50.63,-8.80,37.37,46.98,424.77
